,id,krankheit
168,A16.-,"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert"
169,A16.0,"Lungentuberkulose, weder bakteriologisch, molekularbiologisch noch histologisch gesichert"
170,A16.0,"Lungentuberkulose, weder bakteriologisch, molekularbiologisch noch histologisch gesichert"
171,A16.1,"Lungentuberkulose, bakteriologische, molekularbiologische und histologische Untersuchung nicht durchgefä¼hrt"
172,A16.1,"Lungentuberkulose, bakteriologische, molekularbiologische und histologische Untersuchung nicht durchgefä¼hrt"
173,A16.2,"Lungentuberkulose ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
174,A16.2,"Lungentuberkulose ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
175,A16.3,"Tuberkulose der intrathorakalen Lymphknoten ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
176,A16.3,"Tuberkulose der intrathorakalen Lymphknoten ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
177,A16.4,"Tuberkulose des Larynx, der Trachea und der Bronchien ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
178,A16.4,"Tuberkulose des Larynx, der Trachea und der Bronchien ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
179,A16.5,"Tuberkulä¶se Pleuritis ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
180,A16.5,"Tuberkulä¶se Pleuritis ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
181,A16.7,"Primäre Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
182,A16.7,"Primäre Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
183,A16.8,"Sonstige Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
184,A16.8,"Sonstige Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
185,A16.9,"Nicht näher bezeichnete Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
186,A16.9,"Nicht näher bezeichnete Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
187,A17.-†,Tuberkulose des Nervensystems
188,A17.-†,Tuberkulose des Nervensystems
189,A17.0†,Tuberkulä¶se Meningitis  (G01*)
190,A17.0†,Tuberkulä¶se Meningitis  (G01*)
191,A17.1†,Meningeales Tuberkulom  (G07*)
192,A17.1†,Meningeales Tuberkulom  (G07*)
193,A17.8†,Sonstige Tuberkulose des Nervensystems
194,A17.8†,Sonstige Tuberkulose des Nervensystems
195,A17.9†,"Tuberkulose des Nervensystems, nicht näher bezeichnet  (G99.8*)"
196,A17.9†,"Tuberkulose des Nervensystems, nicht näher bezeichnet  (G99.8*)"
197,A18.-,Tuberkulose sonstiger Organe
198,A18.-,Tuberkulose sonstiger Organe
199,A18.0†,Tuberkulose der Knochen und Gelenke
200,A18.0†,Tuberkulose der Knochen und Gelenke
201,A18.1,Tuberkulose des Urogenitalsystems
202,A18.1,Tuberkulose des Urogenitalsystems
203,A18.2,Tuberkulose peripherer Lymphknoten
204,A18.2,Tuberkulose peripherer Lymphknoten
205,A18.3,"Tuberkulose des Darmes, des Peritoneums und der Mesenteriallymphknoten"
206,A18.3,"Tuberkulose des Darmes, des Peritoneums und der Mesenteriallymphknoten"
207,A18.4,Tuberkulose der Haut und des Unterhautgewebes
208,A18.4,Tuberkulose der Haut und des Unterhautgewebes
209,A18.5,Tuberkulose des Auges
210,A18.5,Tuberkulose des Auges
211,A18.6,Tuberkulose des Ohres
212,A18.6,Tuberkulose des Ohres
213,A18.7†,Tuberkulose der Nebennieren  (E35.1*)
214,A18.7†,Tuberkulose der Nebennieren  (E35.1*)
215,A18.8,Tuberkulose sonstiger näher bezeichneter Organe
216,A18.8,Tuberkulose sonstiger näher bezeichneter Organe
217,A19.-,Miliartuberkulose
218,A19.-,Miliartuberkulose
219,A19.0,Akute Miliartuberkulose einer einzelnen näher bezeichneten Lokalisation
220,A19.0,Akute Miliartuberkulose einer einzelnen näher bezeichneten Lokalisation
221,A19.1,Akute Miliartuberkulose mehrerer Lokalisationen
222,A19.1,Akute Miliartuberkulose mehrerer Lokalisationen
223,A19.2,"Akute Miliartuberkulose, nicht näher bezeichnet"
224,A19.2,"Akute Miliartuberkulose, nicht näher bezeichnet"
225,A19.8,Sonstige Miliartuberkulose
226,A19.8,Sonstige Miliartuberkulose
227,A19.9,"Miliartuberkulose, nicht näher bezeichnet"
228,A19.9,"Miliartuberkulose, nicht näher bezeichnet"
229,A20.-,Pest
230,A20.-,Pest
231,A20.0,Bubonenpest
232,A20.0,Bubonenpest
233,A20.1,Hautpest
234,A20.1,Hautpest
235,A20.2,Lungenpest
236,A20.2,Lungenpest
237,A20.3,Pestmeningitis
238,A20.3,Pestmeningitis
239,A20.7,Pestsepsis
240,A20.7,Pestsepsis
241,A20.8,Sonstige Formen der Pest
242,A20.8,Sonstige Formen der Pest
243,A20.9,"Pest, nicht näher bezeichnet"
244,A20.9,"Pest, nicht näher bezeichnet"
245,A21.-,Tularämie
246,A21.-,Tularämie
247,A21.0,Ulzeroglanduläre Tularämie
248,A21.0,Ulzeroglanduläre Tularämie
249,A21.1,Okuloglanduläre Tularämie
250,A21.1,Okuloglanduläre Tularämie
251,A21.2,Pulmonale Tularämie
252,A21.2,Pulmonale Tularämie
253,A21.3,Gastrointestinale Tularämie
254,A21.3,Gastrointestinale Tularämie
255,A21.7,Generalisierte Tularämie
256,A21.7,Generalisierte Tularämie
257,A21.8,Sonstige Formen der Tularämie
258,A21.8,Sonstige Formen der Tularämie
259,A21.9,"Tularämie, nicht näher bezeichnet"
260,A21.9,"Tularämie, nicht näher bezeichnet"
261,A22.-,Anthrax [Milzbrand]
262,A22.-,Anthrax [Milzbrand]
263,A22.0,Hautmilzbrand
264,A22.0,Hautmilzbrand
265,A22.1,Lungenmilzbrand
266,A22.1,Lungenmilzbrand
267,A22.2,Darmmilzbrand
268,A22.2,Darmmilzbrand
269,A22.7,Milzbrandsepsis
270,A22.7,Milzbrandsepsis
271,A22.8,Sonstige Formen des Milzbrandes
272,A22.8,Sonstige Formen des Milzbrandes
273,A22.9,"Milzbrand, nicht näher bezeichnet"
274,A22.9,"Milzbrand, nicht näher bezeichnet"
275,A23.-,Brucellose
276,A23.-,Brucellose
277,A23.0,Brucellose durch Brucella melitensis
278,A23.0,Brucellose durch Brucella melitensis
279,A23.1,Brucellose durch Brucella abortus
280,A23.1,Brucellose durch Brucella abortus
281,A23.2,Brucellose durch Brucella suis
282,A23.2,Brucellose durch Brucella suis
283,A23.3,Brucellose durch Brucella canis
284,A23.3,Brucellose durch Brucella canis
285,A23.8,Sonstige Brucellose
286,A23.8,Sonstige Brucellose
287,A23.9,"Brucellose, nicht näher bezeichnet"
288,A23.9,"Brucellose, nicht näher bezeichnet"
289,A24.-,Rotz [Malleus] und Melioidose [Pseudorotz]
290,A24.-,Rotz [Malleus] und Melioidose [Pseudorotz]
291,A24.0,Rotz
292,A24.0,Rotz
293,A24.1,Akute oder fulminante Melioidose
294,A24.1,Akute oder fulminante Melioidose
295,A24.2,Subakute oder chronische Melioidose
296,A24.2,Subakute oder chronische Melioidose
297,A24.3,Sonstige Melioidose
298,A24.3,Sonstige Melioidose
299,A24.4,"Melioidose, nicht näher bezeichnet"
300,A24.4,"Melioidose, nicht näher bezeichnet"
301,A25.-,Rattenbisskrankheiten
302,A25.-,Rattenbisskrankheiten
303,A25.0,Spirillen-Rattenbisskrankheit
304,A25.0,Spirillen-Rattenbisskrankheit
305,A25.1,Streptobazillen-Rattenbisskrankheit
306,A25.1,Streptobazillen-Rattenbisskrankheit
307,A25.9,"Rattenbisskrankheit, nicht näher bezeichnet"
308,A25.9,"Rattenbisskrankheit, nicht näher bezeichnet"
309,A26.-,Erysipeloid
310,A26.-,Erysipeloid
311,A26.0,Haut-Erysipeloid
312,A26.0,Haut-Erysipeloid
313,A26.7,Erysipelothrix-Sepsis
314,A26.7,Erysipelothrix-Sepsis
315,A26.8,Sonstige Formen des Erysipeloids
316,A26.8,Sonstige Formen des Erysipeloids
317,A26.9,"Erysipeloid, nicht näher bezeichnet"
318,A26.9,"Erysipeloid, nicht näher bezeichnet"
319,A27.-,Leptospirose
320,A27.-,Leptospirose
321,A27.0,Leptospirosis icterohaemorrhagica [Weil-Krankheit]
322,A27.0,Leptospirosis icterohaemorrhagica [Weil-Krankheit]
323,A27.8,Sonstige Formen der Leptospirose
324,A27.8,Sonstige Formen der Leptospirose
325,A27.9,"Leptospirose, nicht näher bezeichnet"
326,A27.9,"Leptospirose, nicht näher bezeichnet"
327,A28.-,"Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert"
328,A28.-,"Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert"
329,A28.0,Pasteurellose
330,A28.0,Pasteurellose
331,A28.1,Katzenkratzkrankheit
332,A28.1,Katzenkratzkrankheit
333,A28.2,Extraintestinale Yersiniose
334,A28.2,Extraintestinale Yersiniose
335,A28.8,"Sonstige näher bezeichnete bakterielle Zoonosen, anderenorts nicht klassifiziert"
336,A28.8,"Sonstige näher bezeichnete bakterielle Zoonosen, anderenorts nicht klassifiziert"
337,A28.9,"Bakterielle Zoonose, nicht näher bezeichnet"
338,A28.9,"Bakterielle Zoonose, nicht näher bezeichnet"
339,A30.-,Lepra [Aussatz]
340,A30.-,Lepra [Aussatz]
341,A30.0,Indeterminierte Lepra
342,A30.0,Indeterminierte Lepra
343,A30.1,Tuberkuloide Lepra
344,A30.1,Tuberkuloide Lepra
345,A30.2,Borderline-tuberkuloide Lepra
346,A30.2,Borderline-tuberkuloide Lepra
347,A30.3,Borderline-Lepra
348,A30.3,Borderline-Lepra
349,A30.4,Borderline-lepromatä¶se Lepra
350,A30.4,Borderline-lepromatä¶se Lepra
351,A30.5,Lepromatä¶se Lepra
352,A30.5,Lepromatä¶se Lepra
353,A30.8,Sonstige Formen der Lepra
354,A30.8,Sonstige Formen der Lepra
355,A30.9,"Lepra, nicht näher bezeichnet"
356,A30.9,"Lepra, nicht näher bezeichnet"
357,A31.-,Infektion durch sonstige Mykobakterien
358,A31.-,Infektion durch sonstige Mykobakterien
359,A31.0,Infektion der Lunge durch sonstige Mykobakterien
360,A31.0,Infektion der Lunge durch sonstige Mykobakterien
361,A31.1,Infektion der Haut durch sonstige Mykobakterien
362,A31.1,Infektion der Haut durch sonstige Mykobakterien
363,A31.8-,Sonstige Infektionen durch Mykobakterien
364,A31.8-,Sonstige Infektionen durch Mykobakterien
365,A31.80,Disseminierte atypische Mykobakteriose
366,A31.88,Sonstige Infektionen durch Mykobakterien
367,A31.9,"Infektion durch Mykobakterien, nicht näher bezeichnet"
368,A31.9,"Infektion durch Mykobakterien, nicht näher bezeichnet"
369,A32.-,Listeriose
370,A32.-,Listeriose
371,A32.0,Kutane Listeriose
372,A32.0,Kutane Listeriose
373,A32.1†,Meningitis und Meningoenzephalitis durch Listerien
374,A32.1†,Meningitis und Meningoenzephalitis durch Listerien
375,A32.7,Listeriensepsis
376,A32.7,Listeriensepsis
377,A32.8,Sonstige Formen der Listeriose
378,A32.8,Sonstige Formen der Listeriose
379,A32.9,"Listeriose, nicht näher bezeichnet"
380,A32.9,"Listeriose, nicht näher bezeichnet"
381,A33,Tetanus neonatorum
382,A33,Tetanus neonatorum
383,A34,"Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes"
384,A34,"Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes"
385,A35,Sonstiger Tetanus
386,A35,Sonstiger Tetanus
387,A36.-,Diphtherie
388,A36.-,Diphtherie
389,A36.0,Rachendiphtherie
390,A36.0,Rachendiphtherie
391,A36.1,Nasenrachendiphtherie
392,A36.1,Nasenrachendiphtherie
393,A36.2,Kehlkopfdiphtherie
394,A36.2,Kehlkopfdiphtherie
395,A36.3,Hautdiphtherie
396,A36.3,Hautdiphtherie
397,A36.8,Sonstige Diphtherie
398,A36.8,Sonstige Diphtherie
399,A36.9,"Diphtherie, nicht näher bezeichnet"
400,A36.9,"Diphtherie, nicht näher bezeichnet"
401,A37.-,Keuchhusten
402,A37.-,Keuchhusten
403,A37.0,Keuchhusten durch Bordetella pertussis
404,A37.0,Keuchhusten durch Bordetella pertussis
405,A37.1,Keuchhusten durch Bordetella parapertussis
406,A37.1,Keuchhusten durch Bordetella parapertussis
407,A37.8,Keuchhusten durch sonstige Bordetella-Spezies
408,A37.8,Keuchhusten durch sonstige Bordetella-Spezies
409,A37.9,"Keuchhusten, nicht näher bezeichnet"
410,A37.9,"Keuchhusten, nicht näher bezeichnet"
411,A38,Scharlach
412,A38,Scharlach
413,A39.-,Meningokokkeninfektion
414,A39.-,Meningokokkeninfektion
415,A39.0†,Meningokokkenmeningitis  (G01*)
416,A39.0†,Meningokokkenmeningitis  (G01*)
417,A39.1†,Waterhouse-Friderichsen-Syndrom  (E35.1*)
418,A39.1†,Waterhouse-Friderichsen-Syndrom  (E35.1*)
419,A39.2,Akute Meningokokkensepsis
420,A39.2,Akute Meningokokkensepsis
421,A39.3,Chronische Meningokokkensepsis
422,A39.3,Chronische Meningokokkensepsis
423,A39.4,"Meningokokkensepsis, nicht näher bezeichnet"
424,A39.4,"Meningokokkensepsis, nicht näher bezeichnet"
425,A39.5†,Herzkrankheit durch Meningokokken
426,A39.5†,Herzkrankheit durch Meningokokken
427,A39.8,Sonstige Meningokokkeninfektionen
428,A39.8,Sonstige Meningokokkeninfektionen
429,A39.9,"Meningokokkeninfektion, nicht näher bezeichnet"
430,A39.9,"Meningokokkeninfektion, nicht näher bezeichnet"
431,A40.-,Streptokokkensepsis
432,A40.-,Streptokokkensepsis
433,A40.0,"Sepsis durch Streptokokken, Gruppe A"
434,A40.0,"Sepsis durch Streptokokken, Gruppe A"
435,A40.1,"Sepsis durch Streptokokken, Gruppe B"
436,A40.1,"Sepsis durch Streptokokken, Gruppe B"
437,A40.2,"Sepsis durch Streptokokken, Gruppe D, und Enterokokken"
438,A40.2,"Sepsis durch Streptokokken, Gruppe D, und Enterokokken"
439,A40.3,Sepsis durch Streptococcus pneumoniae
440,A40.3,Sepsis durch Streptococcus pneumoniae
441,A40.8,Sonstige Sepsis durch Streptokokken
442,A40.8,Sonstige Sepsis durch Streptokokken
443,A40.9,"Sepsis durch Streptokokken, nicht näher bezeichnet"
444,A40.9,"Sepsis durch Streptokokken, nicht näher bezeichnet"
445,A41.-,Sonstige Sepsis
446,A41.-,Sonstige Sepsis
447,A41.0,Sepsis durch Staphylococcus aureus
448,A41.0,Sepsis durch Staphylococcus aureus
449,A41.1,Sepsis durch sonstige näher bezeichnete Staphylokokken
450,A41.1,Sepsis durch sonstige näher bezeichnete Staphylokokken
451,A41.2,Sepsis durch nicht näher bezeichnete Staphylokokken
452,A41.2,Sepsis durch nicht näher bezeichnete Staphylokokken
453,A41.3,Sepsis durch Haemophilus influenzae
454,A41.3,Sepsis durch Haemophilus influenzae
455,A41.4,Sepsis durch Anaerobier
456,A41.4,Sepsis durch Anaerobier
457,A41.5-,Sepsis durch sonstige gramnegative Erreger
458,A41.5-,Sepsis durch sonstige gramnegative Erreger
459,A41.51,Escherichia coli [E. coli]
460,A41.52,Pseudomonas
461,A41.58,Sonstige gramnegative Erreger
462,A41.8,Sonstige näher bezeichnete Sepsis
463,A41.8,Sonstige näher bezeichnete Sepsis
464,A41.9,"Sepsis, nicht näher bezeichnet"
465,A41.9,"Sepsis, nicht näher bezeichnet"
466,A42.-,Aktinomykose
467,A42.-,Aktinomykose
468,A42.0,Aktinomykose der Lunge
469,A42.0,Aktinomykose der Lunge
470,A42.1,Abdominale Aktinomykose
471,A42.1,Abdominale Aktinomykose
472,A42.2,Zervikofaziale Aktinomykose
473,A42.2,Zervikofaziale Aktinomykose
474,A42.7,Aktinomykotische Sepsis
475,A42.7,Aktinomykotische Sepsis
476,A42.8,Sonstige Formen der Aktinomykose
477,A42.8,Sonstige Formen der Aktinomykose
478,A42.9,"Aktinomykose, nicht näher bezeichnet"
479,A42.9,"Aktinomykose, nicht näher bezeichnet"
480,A43.-,Nokardiose
481,A43.-,Nokardiose
482,A43.0,Pulmonale Nokardiose
483,A43.0,Pulmonale Nokardiose
484,A43.1,Nokardiose der Haut
485,A43.1,Nokardiose der Haut
486,A43.8,Sonstige Formen der Nokardiose
487,A43.8,Sonstige Formen der Nokardiose
488,A43.9,"Nokardiose, nicht näher bezeichnet"
489,A43.9,"Nokardiose, nicht näher bezeichnet"
490,A44.-,Bartonellose
491,A44.-,Bartonellose
492,A44.0,Systemische Bartonellose
493,A44.0,Systemische Bartonellose
494,A44.1,Kutane und mukokutane Bartonellose
495,A44.1,Kutane und mukokutane Bartonellose
496,A44.8,Sonstige Formen der Bartonellose
